info,name,address,latitude,longitude,tags
"Ministry of Transportation and Communications","The Legislative Yuan Main Gate Reception Room","No.1, Chungshan S. Rd., Taipei City 10051, Taiwan (R.O.C.)","25.043965","121.519581","tw,wifi"
"Ministry of Education","National Central Library 2F Reference Reading Room","No.20, Chung-Shan S. Rd., Taipei, Taiwan (R.O.C.)","25.03717","121.516567","tw,wifi"
"Ministry of Education","National Central Library 5F Reading Room","20, Chung-Shan S. Rd., Taipei, Taiwan (R.O.C.)","25.03717","121.516567","tw,wifi"
"Ministry of Education","National Central Library 6F Reading Room","20, Chung-Shan S. Rd., Taipei, Taiwan (R.O.C.)","25.03717","121.516567","tw,wifi"
"Ministry of Education","National Central Library B1 Reading Room","20, Chung-Shan S. Rd., Taipei, Taiwan (R.O.C.)","25.03717","121.516567","tw,wifi"
"Ministry of Education","National Central Library 2F Reading Room","20, Chung-Shan S. Rd., Taipei, Taiwan (R.O.C.)","25.03717","121.516567","tw,wifi"
"Ministry of Education","The entrance area of Howard Buffet Restaurant, National Theater","No.21-1, Zhongshan S. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.036675","121.519046","tw,wifi"
"Ministry of Education","The front area of Ticket Office, National Concert Hall","No.21-1, Zhongshan S. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.036675","121.519046","tw,wifi"
"Ministry of Culture","Dajhong Gate and Dasiao Gate Service desk in indoor","No.21, Zhongshan S.Rd., Zhongzheng Dist.,Taipei City 10048, Taiwan (R.O.C.)","25.0347299","121.521932","tw,wifi"
"Ministry of Education","Ministry of Education First floor Lobby","No.5, Zhongshan S. Rd., Zhongzheng Dist., Taipei City 10051, Taiwan (R.O.C.)","25.042749","121.51915","tw,wifi"
"Ministry of Education","Ministry of Education Front Square","No.5, Zhongshan S. Rd., Zhongzheng Dist., Taipei City 10051, Taiwan (R.O.C.)","25.042749","121.51915","tw,wifi"
"Ministry of Education","Main Building East site) 1F Lobby","No.7, Chung Shan S. Rd.(Zhongshan S. Rd.), Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.041049","121.518552","tw,wifi"
"Ministry of Economic Affairs","Bureau of Mines, MOEA","5F., No.53, Sec. 1, Zhonghua Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.043418","121.508875","tw,wifi"
"Environmental Protection Administration, Executive Yuan","Reception Room(Environmental Protection Administration, Executive Yuan)","1F., No. 83, Zhonghua Rd. Sec. 1, Zhongzheng District, Taipei City 10042, Taiwan (R.O.C.)","25.038559","121.507672","tw,wifi"
"Environmental Protection Administration, Executive Yuan","Reporters Room(Environmental Protection Administration, Executive Yuan)","3F., No. 83, Zhonghua Rd. Sec. 1, Zhongzheng District, Taipei City 10042, Taiwan (R.O.C.)","25.038559","121.507672","tw,wifi"
"Environmental Protection Administration, Executive Yuan","Meeting Room(Environmental Protection Administration, Executive Yuan)","4F., No. 83, Zhonghua Rd. Sec. 1, Zhongzheng District, Taipei City 10042, Taiwan (R.O.C.)","25.038559","121.507672","tw,wifi"
